Player,Season,From Club,To Club,Market Value,Transfer Fee
Marc Guéhi,19/20,Chelsea,Swansea,€1.50m,loan transfer
Marc Guéhi,19/20,Chelsea U23,Chelsea,€1.50m,-
Marc Guéhi,18/19,Chelsea U18,Chelsea U23,-,-
Marc Guéhi,16/17,Chelsea Youth,Chelsea U18,-,-
Nayef Aguerd,22/23,Stade Rennais,West Ham,€12.00m,€35.00m
Nayef Aguerd,20/21,Dijon,Stade Rennais,€4.00m,€4.00m
Nayef Aguerd,18/19,FUS Rabat,Dijon,€900k,€1.60m
Nayef Aguerd,13/14,AM Football,FUS Rabat,-,€15k
John Stones,16/17,Everton,Man City,€28.00m,€55.60m
John Stones,12/13,Barnsley FC,Everton,€100k,€3.50m
John Stones,12/13,Barnsley U18,Barnsley FC,€50k,-
John Stones,10/11,Barnsley Jgd.,Barnsley U18,-,-
Leandro Trossard,22/23,Brighton,Arsenal,€30.00m,€24.00m
Leandro Trossard,19/20,KRC Genk,Brighton,€16.00m,€15.56m
Leandro Trossard,15/16,OH Leuven,KRC Genk,€2.00m,End of loan
Leandro Trossard,15/16,KRC Genk,OH Leuven,€500k,loan transfer
Leandro Trossard,14/15,Lommel United,KRC Genk,€500k,End of loan
Leandro Trossard,14/15,KRC Genk,Lommel United,€200k,loan transfer
Leandro Trossard,13/14,KVC Westerlo,KRC Genk,€200k,End of loan
Leandro Trossard,13/14,KRC Genk,KVC Westerlo,€200k,loan transfer
Leandro Trossard,12/13,Lommel United,KRC Genk,€200k,End of loan
Leandro Trossard,12/13,KRC Genk,Lommel United,€200k,loan transfer
Leandro Trossard,12/13,KRC Genk U19,KRC Genk,€100k,-
Leandro Trossard,10/11,Bocholt VV U21,KRC Genk U19,-,?
Kobbie Mainoo,22/23,Man Utd U21,Man Utd,€300k,-
Kobbie Mainoo,22/23,Man Utd U18,Man Utd U21,-,-
Kobbie Mainoo,21/22,Man Utd Youth,Man Utd U18,-,-
Nicolas Jackson,23/24,Villarreal,Chelsea,€30.00m,€37.00m
Nicolas Jackson,22/23,Villarreal CF B,Villarreal,€1.00m,-
Nicolas Jackson,20/21,CD Mirandés,Villarreal CF B,€300k,End of loan
Nicolas Jackson,20/21,Villarreal CF B,CD Mirandés,-,loan transfer
Nicolas Jackson,20/21,Villarreal U19,Villarreal CF B,-,-
Nicolas Jackson,19/20,Casa Sports,Villarreal U19,-,?
Mohamed Simakan,21/22,R. Strasbourg,RB Leipzig,€18.00m,€15.00m
Mohamed Simakan,19/20,R. Strasbourg B,R. Strasbourg,-,-
Mohamed Simakan,18/19,Strasbourg U19,R. Strasbourg B,-,-
Piero Hincapié,21/22,CA Talleres,B. Leverkusen,€8.00m,€6.35m
Piero Hincapié,20/21,Independiente,CA Talleres,€600k,€3.55m
Piero Hincapié,19/20,Independiente B,Independiente,€100k,-
Piero Hincapié,18/19,IDV U20,Independiente B,-,-
Elye Wahi,23/24,Montpellier,Lens,€35.00m,€30.00m
Elye Wahi,20/21,Montpellier B,Montpellier,-,-
Elye Wahi,19/20,Montpellier U19,Montpellier B,-,-
Elye Wahi,18/19,Montfermeil U17,Montpellier U19,-,?
Elye Wahi,18/19,SM Caen Jugend,Montfermeil U17,-,free transfer
Odilon Kossounou,21/22,Club Brugge,B. Leverkusen,€13.00m,€23.00m
Odilon Kossounou,19/20,Hammarby,Club Brugge,€2.80m,€3.85m
Odilon Kossounou,18/19,ASEC Mimosas,Hammarby,-,?
Jean-Clair Todibo,21/22,Barcelona,OGC Nice,€12.00m,€8.50m
Jean-Clair Todibo,20/21,OGC Nice,Barcelona,€12.00m,End of loan
Jean-Clair Todibo,20/21,Barcelona,OGC Nice,€12.00m,loan transfer
Jean-Clair Todibo,20/21,Benfica,Barcelona,€12.00m,End of loan
Jean-Clair Todibo,20/21,Barcelona,Benfica,€14.00m,"Loan fee:
€2.00m"
Jean-Clair Todibo,19/20,FC Schalke 04,Barcelona,€9.00m,End of loan
Jean-Clair Todibo,19/20,Barcelona,FC Schalke 04,€10.00m,"Loan fee:
€1.50m"
Jean-Clair Todibo,18/19,Toulouse,Barcelona,€8.00m,€1.00m
Jean-Clair Todibo,18/19,Toulouse B,Toulouse,-,-
Jean-Clair Todibo,17/18,Toulouse U19,Toulouse B,-,-
Jean-Clair Todibo,16/17,FC Les Lilas 93,Toulouse U19,-,?
Oihan Sancet,20/21,Bilbao Athletic,Athletic,€2.30m,-
Oihan Sancet,18/19,Bilbao U19,Bilbao Athletic,-,-
Oihan Sancet,17/18,Bilbao U18,Bilbao U19,-,-
Oihan Sancet,16/17,Bilbao Youth,Bilbao U18,-,-
Oihan Sancet,15/16,CA Osasuna Yout,Bilbao Youth,-,€300k
Harvey Elliott,21/22,Liverpool U23,Liverpool,€15.00m,-
Harvey Elliott,20/21,Blackburn,Liverpool U23,€15.00m,End of loan
Harvey Elliott,20/21,Liverpool U23,Blackburn,€4.00m,loan transfer
Harvey Elliott,19/20,Fulham U18,Liverpool U23,-,€1.70m
Harvey Elliott,18/19,Fulham Youth,Fulham U18,-,-
Cheick Doucouré,22/23,Lens,Crystal Palace,€15.00m,€22.60m
Cheick Doucouré,18/19,RC Lens B,Lens,-,-
Cheick Doucouré,17/18,AS Real Bamako,RC Lens B,-,?
Cheick Doucouré,16/17,JMG Bamako,AS Real Bamako,-,-
Mykhaylo Mudryk,22/23,Shakhtar D.,Chelsea,€40.00m,€70.00m
Mykhaylo Mudryk,20/21,Shakhtar II,Shakhtar D.,€200k,-
Mykhaylo Mudryk,20/21,Desna,Shakhtar II,€200k,End of loan
Mykhaylo Mudryk,20/21,Shakhtar II,Desna,€200k,loan transfer
Mykhaylo Mudryk,18/19,Arsenal Kyiv,Shakhtar II,€200k,End of loan
Mykhaylo Mudryk,18/19,Shakhtar II,Arsenal Kyiv,-,loan transfer
Mykhaylo Mudryk,18/19,Shakhtar U17,Shakhtar II,-,-
Max Kilman,18/19,Maidenhead Utd.,Wolves,-,free transfer
Max Kilman,16/17,Marlow,Maidenhead Utd.,-,End of loan
Max Kilman,16/17,Maidenhead Utd.,Marlow,-,loan transfer
Max Kilman,16/17,Maidenhead U18,Maidenhead Utd.,-,-
Tino Livramento,23/24,Southampton,Newcastle,€25.00m,€37.20m
Tino Livramento,21/22,Chelsea U23,Southampton,-,€26.20m
Tino Livramento,20/21,Chelsea U18,Chelsea U23,-,-
Tino Livramento,19/20,Chelsea Youth,Chelsea U18,-,-
Giorgi Mamardashvili,21/22,Dinamo Tbilisi,Valencia,€3.00m,€850k
Giorgi Mamardashvili,21/22,Valencia,Dinamo Tbilisi,€3.00m,End of loan
Giorgi Mamardashvili,21/22,Dinamo Tbilisi,Valencia,€800k,"Loan fee:
€200k"
Giorgi Mamardashvili,20/21,FC Locomotive,Dinamo Tbilisi,€800k,End of loan
Giorgi Mamardashvili,19/20,Dinamo Tbilisi,FC Locomotive,€250k,loan transfer
Giorgi Mamardashvili,19/20,Rustavi,Dinamo Tbilisi,€250k,End of loan
Giorgi Mamardashvili,18/19,Dinamo Tbilisi,Rustavi,€25k,loan transfer
Giorgi Mamardashvili,17/18,Dinamo Academy,Dinamo Tbilisi,-,-
Giorgi Mamardashvili,12/13,Gagra Acad.,Dinamo Academy,-,?
Ryan Gravenberch,23/24,Bayern Munich,Liverpool,€30.00m,€40.00m
Ryan Gravenberch,22/23,Ajax,Bayern Munich,€35.00m,€18.50m
Ryan Gravenberch,19/20,Ajax U21,Ajax,€5.00m,-
Ryan Gravenberch,18/19,Ajax U19,Ajax U21,-,-
Ryan Gravenberch,17/18,Ajax U17,Ajax U19,-,-
Ryan Gravenberch,16/17,Ajax Youth,Ajax U17,-,-
Ryan Gravenberch,10/11,Zeeburgia Yth.,Ajax Youth,-,free transfer
Khéphren Thuram,19/20,Monaco,OGC Nice,€500k,free transfer
Khéphren Thuram,18/19,Monaco U19,Monaco,-,-
Khéphren Thuram,17/18,Monaco Youth,Monaco U19,-,-
Khéphren Thuram,16/17,ACBB Youth,Monaco Youth,-,free transfer
Curtis Jones,20/21,Liverpool U23,Liverpool,€1.80m,-
Curtis Jones,18/19,Liverpool U18,Liverpool U23,-,-
Curtis Jones,17/18,Liverpool Youth,Liverpool U18,-,-
Nahuel Molina,22/23,Udinese Calcio,Atlético Madrid,€20.00m,€20.00m
Nahuel Molina,20/21,Boca Juniors II,Udinese Calcio,€2.00m,free transfer
Nahuel Molina,19/20,Rosario Central,Boca Juniors II,€2.50m,End of loan
Nahuel Molina,18/19,Boca Juniors II,Rosario Central,€750k,loan transfer
Nahuel Molina,18/19,Defensa,Boca Juniors II,€750k,End of loan
Nahuel Molina,17/18,Boca Juniors II,Defensa,€300k,loan transfer
Nahuel Molina,15/16,CABJ U20,Boca Juniors II,-,-
Ezri Konsa,19/20,Brentford,Aston Villa,€3.50m,€13.30m
Ezri Konsa,18/19,Charlton,Brentford,€500k,€2.85m
Ezri Konsa,16/17,Charlton U18,Charlton,-,-
Yves Bissouma,22/23,Brighton,Tottenham,€35.00m,€29.20m
Yves Bissouma,18/19,LOSC Lille,Brighton,€8.00m,€16.80m
Yves Bissouma,15/16,AS Real Bamako,LOSC Lille,-,?
Yves Bissouma,15/16,JMG Bamako,AS Real Bamako,-,?
Dávid Hancko,22/23,Sparta Prague,Feyenoord,€4.50m,€8.30m
Dávid Hancko,21/22,Fiorentina,Sparta Prague,€2.70m,€2.50m
Dávid Hancko,20/21,Sparta Prague,Fiorentina,€2.70m,End of loan
Dávid Hancko,19/20,Fiorentina,Sparta Prague,€2.50m,loan transfer
Dávid Hancko,18/19,MSK Zilina,Fiorentina,€600k,€3.80m
Dávid Hancko,16/17,MSK Zilina U19,MSK Zilina,-,-
Edson Álvarez,23/24,Ajax,West Ham,€35.00m,€38.00m
Edson Álvarez,19/20,América,Ajax,€7.50m,€15.00m
Edson Álvarez,16/17,CF América U20,América,€500k,-
Edson Álvarez,15/16,América Premier,CF América U20,-,-
Edson Álvarez,14/15,CF América U17,América Coapa,-,-
Ferran Torres,21/22,Man City,Barcelona,€45.00m,€55.00m
Ferran Torres,20/21,Valencia,Man City,€45.00m,€33.50m
Ferran Torres,17/18,Valencia B,Valencia,€1.00m,-
Ferran Torres,17/18,Valencia U19,Valencia B,-,-
Ferran Torres,16/17,Valencia CF You,Valencia U19,-,-
Harvey Barnes,23/24,Leicester,Newcastle,€35.00m,€44.00m
Harvey Barnes,18/19,West Brom,Leicester,€1.50m,End of loan
Harvey Barnes,18/19,Leicester,West Brom,€250k,loan transfer
Harvey Barnes,18/19,Leicester U21,Leicester,€250k,-
Harvey Barnes,17/18,Barnsley FC,Leicester U21,€250k,End of loan
Harvey Barnes,17/18,Leicester U21,Barnsley FC,€100k,loan transfer
Harvey Barnes,16/17,MK Dons,Leicester U21,€100k,End of loan
Harvey Barnes,16/17,Leicester U21,MK Dons,-,loan transfer
Harvey Barnes,16/17,Leicester U18,Leicester U21,-,-
Leon Bailey,21/22,B. Leverkusen,Aston Villa,€35.00m,€32.00m
Leon Bailey,16/17,KRC Genk,B. Leverkusen,€12.50m,€16.70m
Leon Bailey,15/16,AS Trencin U19,KRC Genk,-,€1.40m
Leon Bailey,13/14,USK Anif Youth,AS Trencin U19,-,free transfer
Leon Bailey,11/12,Phoenix Acad.,USK Anif Youth,-,free transfer
Diogo Dalot,20/21,AC Milan,Man Utd,€10.00m,End of loan
Diogo Dalot,20/21,Man Utd,AC Milan,€12.00m,"Loan fee:
€500k"
Diogo Dalot,18/19,FC Porto,Man Utd,€15.00m,€22.00m
Diogo Dalot,17/18,FC Porto B,FC Porto,€600k,-
Diogo Dalot,16/17,FC Porto U19,FC Porto B,€50k,-
Diogo Dalot,15/16,FC Porto U17,FC Porto U19,-,-
Diogo Dalot,15/16,Padroense U17,FC Porto U17,-,-
Diogo Dalot,14/15,FC Porto U15,Padroense U17,-,-
Diogo Dalot,12/13,FC Porto Youth,FC Porto U15,-,-
Rodrigo Bentancur,21/22,Juventus,Tottenham,€25.00m,€19.00m
Rodrigo Bentancur,17/18,Boca Juniors,Juventus,€6.00m,€21.70m
Rodrigo Bentancur,14/15,CABJ U20,Boca Juniors,-,-
Ismaël Bennacer,19/20,FC Empoli,AC Milan,€12.00m,€17.20m
Ismaël Bennacer,17/18,Arsenal U23,FC Empoli,€500k,€1.00m
Ismaël Bennacer,16/17,Tours FC,Arsenal U23,€500k,End of loan
Ismaël Bennacer,16/17,Arsenal U23,Tours FC,€100k,loan transfer
Ismaël Bennacer,15/16,AC Arles,Arsenal U21,€100k,€300k
Ismaël Bennacer,14/15,AC Arles U19,AC Arles-Avignon,-,-
Pervis Estupiñán,22/23,Villarreal,Brighton,€20.00m,€17.80m
Pervis Estupiñán,20/21,Watford,Villarreal,€15.00m,€16.40m
Pervis Estupiñán,19/20,CA Osasuna,Watford,€15.00m,End of loan
Pervis Estupiñán,19/20,Watford,CA Osasuna,€2.00m,loan transfer
Pervis Estupiñán,18/19,RCD Mallorca,Watford,€2.00m,End of loan
Pervis Estupiñán,18/19,Watford,RCD Mallorca,€800k,loan transfer
Pervis Estupiñán,17/18,UD Almería,Watford,€800k,End of loan
Pervis Estupiñán,17/18,Watford,UD Almería,€400k,loan transfer
Pervis Estupiñán,17/18,Udinese Calcio,Watford,€400k,?
Pervis Estupiñán,16/17,Granada B,Udinese Calcio,€400k,End of loan
Pervis Estupiñán,16/17,Udinese Calcio,Granada B,€600k,loan transfer
Pervis Estupiñán,16/17,LDU Quito,Udinese Calcio,€600k,€500k
Pervis Estupiñán,14/15,LDU Quito B,LDU Quito,€50k,-
Pervis Estupiñán,13/14,LDU Quito U20,LDU Quito B,-,-
Joe Willock,21/22,Arsenal,Newcastle,€16.00m,€29.40m
Joe Willock,20/21,Newcastle,Arsenal,€16.00m,End of loan
Joe Willock,20/21,Arsenal,Newcastle,€16.00m,loan transfer
Joe Willock,19/20,Arsenal U23,Arsenal,-,-
Joe Willock,17/18,Arsenal U18,Arsenal U23,-,-
Joe Willock,15/16,Arsenal Youth,Arsenal U18,-,-
Tammy Abraham,21/22,Chelsea,AS Roma,€38.00m,€41.00m
Tammy Abraham,18/19,Aston Villa,Chelsea,€15.00m,End of loan
Tammy Abraham,18/19,Chelsea,Aston Villa,€10.00m,loan transfer
Tammy Abraham,17/18,Swansea,Chelsea,€10.00m,End of loan
Tammy Abraham,17/18,Chelsea,Swansea,€8.00m,loan transfer
Tammy Abraham,17/18,Chelsea U23,Chelsea,€8.00m,-
Tammy Abraham,16/17,Bristol City,Chelsea U23,€5.00m,End of loan
Tammy Abraham,16/17,Chelsea U23,Bristol City,-,loan transfer
Tammy Abraham,15/16,Chelsea U18,Chelsea U21,-,-
Tammy Abraham,13/14,Chelsea Youth,Chelsea U18,-,-
Brahim Díaz,22/23,AC Milan,Real Madrid,€20.00m,End of loan
Brahim Díaz,21/22,Real Madrid,AC Milan,€15.00m,"Loan fee:
€3.00m"
Brahim Díaz,20/21,AC Milan,Real Madrid,€15.00m,End of loan
Brahim Díaz,20/21,Real Madrid,AC Milan,€13.50m,"Loan fee:
€200k"
Brahim Díaz,18/19,Man City,Real Madrid,€5.00m,€17.00m
Brahim Díaz,17/18,Man City U23,Man City,-,-
Brahim Díaz,16/17,Man City U18,Man City U23,-,-
Brahim Díaz,15/16,Man City Youth,Man City U18,-,-
Brahim Díaz,13/14,Málaga CF Youth,Man City Youth,-,€350k
Tomas Soucek,20/21,Slavia Prague,West Ham,€12.00m,€16.20m
Tomas Soucek,19/20,West Ham,Slavia Prague,€12.00m,End of loan
Tomas Soucek,19/20,Slavia Prague,West Ham,€10.00m,"Loan fee:
€4.50m"
Tomas Soucek,16/17,Slovan Liberec,Slavia Prague,€1.25m,End of loan
Tomas Soucek,16/17,Slavia Prague,Slovan Liberec,€1.25m,loan transfer
Tomas Soucek,14/15,Viktoria Zizkov,Slavia Prague,-,End of loan
Tomas Soucek,14/15,Slavia Prague,Viktoria Zizkov,-,loan transfer
Tomas Soucek,14/15,SK Slavia U19,Slavia Prague,-,-
Sergej Milinković-Savić,23/24,Lazio,Al-Hilal,€50.00m,€40.00m
Sergej Milinković-Savić,15/16,KRC Genk,Lazio,€4.00m,€12.00m
Sergej Milinković-Savić,14/15,Vojvodina,KRC Genk,€400k,€1.00m
Sergej Milinković-Savić,13/14,Vojvodina U19,Vojvodina,€100k,-
Sergej Milinković-Savić,12/13,Vojvodina U17,Vojvodina U19,-,-
Sergej Milinković-Savić,10/11,Vojvodina U15,Vojvodina U17,-,-
Sergej Milinković-Savić,06/07,GAK Youth,Vojvodina U15,-,free transfer
David Raya,23/24,Arsenal,Brentford,€35.00m,End of loan
David Raya,23/24,Brentford,Arsenal,€30.00m,"Loan fee:
€3.34m"
David Raya,19/20,Blackburn,Brentford,€1.50m,€3.35m
David Raya,14/15,Southport,Blackburn,-,End of loan
David Raya,14/15,Blackburn,Southport,-,loan transfer
David Raya,13/14,Blackburn U18,Blackburn,-,-
David Raya,12/13,Cornellà Youth,Blackburn U18,-,?
Joachim Andersen,21/22,Olympique Lyon,Crystal Palace,€22.00m,€17.50m
Joachim Andersen,20/21,Fulham,Olympique Lyon,€22.00m,End of loan
Joachim Andersen,20/21,Olympique Lyon,Fulham,€16.00m,"Loan fee:
€1.00m"
Joachim Andersen,19/20,Sampdoria,Olympique Lyon,€25.00m,€24.00m
Joachim Andersen,17/18,Twente FC,Sampdoria,€1.50m,€1.75m
Joachim Andersen,14/15,FC Twente U21,Twente FC,€150k,-
Joachim Andersen,13/14,FC Twente U19,FC Twente U21,-,-
Joachim Andersen,13/14,Midtjylland U19,FC Twente U19,-,€670k
Joachim Andersen,12/13,FCM Youth,Midtjylland U19,-,-
Joachim Andersen,11/12,FCK Youth,FCM Youth,-,?
Joachim Andersen,09/10,Greve IF U19,FCK Youth,-,?
Dominic Solanke,18/19,Liverpool,Bournemouth,€10.00m,€21.20m
Dominic Solanke,17/18,Chelsea U23,Liverpool,€2.00m,free transfer
Dominic Solanke,15/16,Vitesse,Chelsea U21,€2.00m,End of loan
Dominic Solanke,15/16,Chelsea U21,Vitesse,€250k,loan transfer
Dominic Solanke,15/16,Chelsea U18,Chelsea U21,€250k,-
Dominic Solanke,14/15,Chelsea Youth,Chelsea U18,-,-
Andrew Robertson,17/18,Hull City,Liverpool,€7.00m,€9.00m
Andrew Robertson,14/15,Dundee United,Hull City,€600k,€3.60m
Andrew Robertson,13/14,Queen's Park,Dundee United,-,free transfer
Andrew Robertson,12/13,Queen's P. U20,Queen's Park,-,-
Fabinho,23/24,Liverpool,Al-Ittihad,€42.00m,€46.70m
Fabinho,18/19,Monaco,Liverpool,€45.00m,€45.00m
Fabinho,15/16,Rio Ave,Monaco,€8.00m,€6.00m
Fabinho,14/15,Monaco,Rio Ave,€8.00m,End of loan
Fabinho,13/14,Rio Ave,Monaco,€2.50m,loan transfer
Fabinho,12/13,RM Castilla,Rio Ave,€2.50m,End of loan
Fabinho,12/13,Rio Ave,RM Castilla,-,loan transfer
Fabinho,12/13,Fluminense U20,Rio Ave,-,€500k
Fabinho,10/11,Paulínia Futebol Clube (SP),Fluminense U20,-,free transfer
Luke Shaw,14/15,Southampton,Man Utd,€13.00m,€37.50m
Luke Shaw,12/13,Southampton U18,Southampton,-,-
James Ward-Prowse,23/24,Southampton,West Ham,€38.00m,€34.80m
James Ward-Prowse,12/13,Southampton U18,Southampton,€50k,-
James Ward-Prowse,10/11,Southampton Aca,Southampton U18,-,-
Manuel Locatelli,23/24,Sassuolo,Juventus,€30.00m,€36.40m
Manuel Locatelli,22/23,Juventus,Sassuolo,€30.00m,End of loan
Manuel Locatelli,21/22,Sassuolo,Juventus,€35.00m,loan transfer
Manuel Locatelli,19/20,AC Milan,Sassuolo,€12.00m,€14.00m
Manuel Locatelli,18/19,Sassuolo,AC Milan,€12.00m,End of loan
Manuel Locatelli,18/19,AC Milan,Sassuolo,€8.00m,loan transfer
Manuel Locatelli,15/16,Milan U19,AC Milan,€150k,-
Manuel Locatelli,14/15,AC Milan Youth,Milan U19,-,-
Manuel Locatelli,10/11,Atalanta Youth,AC Milan Youth,-,?
Malo Gusto,22/23,Olympique Lyon,Chelsea,€25.00m,End of loan
Malo Gusto,22/23,Chelsea,Olympique Lyon,€15.00m,loan transfer
Malo Gusto,22/23,Olympique Lyon,Chelsea,€15.00m,€30.00m
Malo Gusto,21/22,Olymp. Lyon B,Olympique Lyon,€500k,-
Malo Gusto,20/21,Olymp. Lyon U19,Olymp. Lyon B,-,-
Malo Gusto,19/20,Ol. Lyon Yth.,Olymp. Lyon U19,-,-
Rayan Aït-Nouri,21/22,Angers SCO,Wolves,€18.00m,€11.10m
Rayan Aït-Nouri,20/21,Wolves,Angers SCO,€18.00m,End of loan
Rayan Aït-Nouri,20/21,Angers SCO,Wolves,€20.00m,loan transfer
Rayan Aït-Nouri,18/19,Angers SCO U19,Angers SCO,-,-
Rayan Aït-Nouri,16/17,Paris FC Yth.,Angers SCO U19,-,free transfer
Wesley Fofana,22/23,Leicester,Chelsea,€40.00m,€80.40m
Wesley Fofana,20/21,Saint-Étienne,Leicester,€10.00m,€35.00m
Wesley Fofana,19/20,Saint-Étienne B,Saint-Étienne,-,-
Wesley Fofana,18/19,St-Étienne U19,Saint-Étienne B,-,-
Benoît Badiashile,22/23,Monaco,Chelsea,€40.00m,€38.00m
Benoît Badiashile,18/19,Monaco U19,Monaco,-,-
Benoît Badiashile,17/18,Monaco Youth,Monaco U19,-,-
Lutsharel Geertruida,18/19,Feyenoord U19,Feyenoord,€500k,-
Lutsharel Geertruida,17/18,Feyenoord U17,Feyenoord U19,-,-
Lutsharel Geertruida,16/17,Feyenoord Youth,Feyenoord U17,-,-
Lutsharel Geertruida,12/13,Sparta Youth,Feyenoord Youth,-,free transfer
Lutsharel Geertruida,09/10,Spartaan Yth.,Sparta Youth,-,free transfer
Joey Veerman,21/22,Heerenveen,PSV Eindhoven,€7.00m,€6.00m
Joey Veerman,19/20,FC Volendam,Heerenveen,€350k,€550k
Joey Veerman,16/17,Volendam U21,FC Volendam,€25k,-
Joey Veerman,16/17,Volendam U19,Volendam U21,-,-
Joey Veerman,15/16,Volendam U17,Volendam U19,-,-
Joey Veerman,13/14,Volendam Youth,Volendam U17,-,-
Joey Veerman,05/06,RKAV Yth.,Volendam Youth,-,free transfer
Ibrahim Sangaré,23/24,PSV Eindhoven,Nottm Forest,€35.00m,€35.00m
Ibrahim Sangaré,20/21,Toulouse,PSV Eindhoven,€9.50m,€7.00m
Ibrahim Sangaré,16/17,AS Denguélé,Toulouse,-,?
Scott McTominay,17/18,Man Utd U23,Man Utd,-,-
Scott McTominay,15/16,Man Utd U18,Man Utd U21,-,-
Scott McTominay,13/14,Man Utd Youth,Man Utd U18,-,-
Christian Pulisic,23/24,Chelsea,AC Milan,€25.00m,€20.00m
Christian Pulisic,18/19,Bor. Dortmund,Chelsea,€60.00m,End of loan
Christian Pulisic,18/19,Chelsea,Bor. Dortmund,€50.00m,loan transfer
Christian Pulisic,18/19,Bor. Dortmund,Chelsea,€50.00m,€64.00m
Christian Pulisic,15/16,B. Dortmund U19,Bor. Dortmund,-,-
Christian Pulisic,15/16,B. Dortmund U17,B. Dortmund U19,-,-
Christian Pulisic,14/15,PA Classics,B. Dortmund U17,-,free transfer
Virgil van Dijk,17/18,Southampton,Liverpool,€30.00m,€84.65m
Virgil van Dijk,15/16,Celtic,Southampton,€5.00m,€15.70m
Virgil van Dijk,13/14,FC Groningen,Celtic,€3.00m,€2.75m
Virgil van Dijk,11/12,Gron./Cam. U21,FC Groningen,€250k,-
Virgil van Dijk,10/11,Willem II/RKC-19,FC Groning. U21,-,free transfer
Virgil van Dijk,08/09,Willem II U17,Willem II U19,-,-
Virgil van Dijk,06/07,Willem II Youth,Willem II U17,-,-
Virgil van Dijk,01/02,WDS '19 Jeugd,Willem II Youth,-,free transfer
Alisson,18/19,AS Roma,Liverpool,€60.00m,€62.50m
Alisson,16/17,Internacional,AS Roma,€7.00m,€8.00m
Alisson,12/13,Inter B,Internacional,€150k,-
Alisson,11/12,Inter U20,Inter B,-,-
Arthur Vermeeren,23/24,Royal Antwerp,Atlético Madrid,€30.00m,€18.00m
Arthur Vermeeren,22/23,Young Reds,Royal Antwerp,-,-
Arthur Vermeeren,21/22,Antwerp U18,Antwerp U21,-,-
Arthur Vermeeren,21/22,Antwerp Yth.,Antwerp U18,-,-
Arthur Vermeeren,18/19,KV Mechelen Yth,Antwerp Yth.,-,free transfer
Arthur Vermeeren,15/16,Lierse SK Yth.,KV Mechelen Yth,-,free transfer
Kenan Yıldız,23/24,Juve Next Gen,Juventus,€1.00m,-
Kenan Yıldız,22/23,Juventus U19,Juve Next Gen,-,-
Kenan Yıldız,22/23,FC Bayern U19,Juventus U19,-,free transfer
Kenan Yıldız,21/22,FC Bayern U17,FC Bayern U19,-,-
Kenan Yıldız,21/22,FC Bayern U16,FC Bayern U17,-,-
Kenan Yıldız,20/21,B. München Yth.,FC Bayern U16,-,-
Kenan Yıldız,12/13,Regensburg Yth.,B. München Yth.,-,free transfer
Kenan Yıldız,11/12,SV Sallern,Regensburg Yth.,-,free transfer
Evanilson,20/21,Tombense,FC Porto,€7.50m,€8.80m
Evanilson,20/21,Fluminense,Tombense,€4.00m,End of loan
Evanilson,19/20,Tombense,Fluminense,€50k,loan transfer
Evanilson,19/20,Fluminense,Tombense,€50k,?
Evanilson,19/20,Fluminense U20,Fluminense,-,-
Evanilson,17/18,STK Samorin,Fluminense U20,-,End of loan
Evanilson,17/18,Fluminense U20,STK Samorin,-,loan transfer
Gabri Veiga,23/24,Celta de Vigo,Al-Ahli,€30.00m,€30.00m
Gabri Veiga,22/23,Celta Vigo B,Celta de Vigo,€1.50m,-
Gabri Veiga,19/20,Celta U19,Celta Vigo B,-,-
Gabri Veiga,18/19,Celta Vigo Yout,Celta U19,-,-
Willian Pacho,23/24,Royal Antwerp,E. Frankfurt,€11.00m,€9.00m
Willian Pacho,21/22,Independiente,Royal Antwerp,€2.50m,€5.57m
Willian Pacho,19/20,Independiente B,Independiente,-,-
Willian Pacho,17/18,IDV U20,Independiente B,-,-
Jarrad Branthwaite,22/23,PSV Eindhoven,Everton,€10.00m,End of loan
Jarrad Branthwaite,22/23,Everton,PSV Eindhoven,€3.00m,loan transfer
Jarrad Branthwaite,20/21,Blackburn,Everton,€3.00m,End of loan
Jarrad Branthwaite,20/21,Everton,Blackburn,€2.00m,loan transfer
Jarrad Branthwaite,19/20,Carlisle United,Everton,-,€1.10m
Jarrad Branthwaite,18/19,Carlisle U18,Carlisle United,-,-
Simon Adingra,22/23,Union SG,Brighton,€10.00m,End of loan
Simon Adingra,22/23,Brighton,Union SG,€1.50m,loan transfer
Simon Adingra,22/23,Nordsjaelland,Brighton,€1.50m,€8.00m
Simon Adingra,20/21,Nordsjaell. U19,Nordsjaelland,-,-
Simon Adingra,19/20,Right to Dream,Nordsjaell. U19,€25k,free transfer
Éderson,22/23,Salernitana,Atalanta BC,€13.00m,€21.40m
Éderson,21/22,Corinthians,Salernitana,€5.00m,€6.50m
Éderson,22/23,Fortaleza,Corinthians,€5.00m,End of loan
Éderson,20/21,Corinthians,Fortaleza,€4.00m,loan transfer
Éderson,19/20,Cruzeiro,Corinthians,€2.50m,free transfer
Éderson,19/20,Desp. Brasil,Cruzeiro,€100k,€295k
Éderson,16/17,Desportivo U20,Desp. Brasil,-,-
Aaron Hickey,22/23,Bologna,Brentford,€18.00m,€14.25m
Aaron Hickey,20/21,Heart of Midl.,Bologna,€600k,€1.70m
Aaron Hickey,19/20,Hearts FC U18,Heart of Midl.,-,-
Aaron Hickey,18/19,Celtic U17,Hearts FC U18,-,free transfer
Aaron Hickey,17/18,Hearts Youth,Celtic U17,-,free transfer
