player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Alejandro Grimaldo,45.0,Left Back,Left Midfield,Spain,1995-09-20,Valencia  ,Spain,171,Bayer 04 Leverkusen,2027-06-30,-,,20,left,adidas,29
Serge Gnabry,45.0,Right Winger,"Left Winger, Second Striker",Germany,1995-07-14,Stuttgart  ,Germany,176,Bayern Munich,2026-06-30,-,,7,right,adidas,29
Raheem Sterling,45.0,Left Winger,"Right Winger, Centre-Forward",England,1994-12-08,Kingston  ,Jamaica,170,Chelsea FC,2027-06-30,-,,7,right,New Balance,30
Neymar,45.0,Left Winger,"Second Striker, Attacking Midfield",Brazil,1992-02-05,Mogi das Cruzes  ,Brazil,175,Al-Hilal SFC,2025-06-30,-,,10,right,Puma,32
Matheus Cunha,42.0,Centre Forward,"Left Winger, Right Winger",Brazil,1999-05-27,João Pessoa  ,Brazil,183,Wolverhampton Wanderers,2027-06-30,-,,12,right,Nike,25
Jacob Ramsey,42.0,Attacking Midfield,"Central Midfield, Left Midfield",England,2001-05-28,Birmingham  ,England,180,Aston Villa,2027-06-30,-,,41,right,,23
Axel Disasi,42.0,Centre Back,Right-Back,France,1998-03-11,Gonesse  ,France,190,Chelsea FC,2029-06-30,-,,2,right,,26
Joelinton,42.0,Central Midfield,"Attacking Midfield, Left Winger",Brazil,1996-08-14,Aliança  ,Brazil,186,Newcastle United,2028-06-30,-,,7,right,,28
Manuel Akanji,42.0,Centre Back,"Right-Back, Left-Back",Switzerland,1995-07-19,Wiesendangen  ,Switzerland,188,Manchester City,2027-06-30,-,,25,right,Puma,29
Oleksandr Zinchenko,42.0,Left Back,"Left Midfield, Central Midfield",Ukraine,1996-12-15,"Radomyshl, Zhytomyr Oblast  ",Ukraine,175,Arsenal FC,2026-06-30,-,,35,left,,28
Samu Omorodion,40.0,Centre Forward,,Spain,2004-05-05,Melilla  ,Spain,193,Deportivo Alavés,2024-06-30,Atlético de Madrid,2028-06-30,32,right,,20
Ousmane Diomande,40.0,Centre Back,,Ivory Coast,2003-12-04,Abidjan  ,Cote d'Ivoire,190,Sporting CP,2027-06-30,-,,26,right,,21
Vitor Roque,40.0,Centre Forward,"Left Winger, Right Winger",Brazil,2005-02-28,Timóteo  ,Brazil,172,FC Barcelona,2031-06-30,-,,19,right,Nike,19
Leny Yoro,40.0,Centre Back,,France,2005-11-13,Saint-Maurice  ,France,190,LOSC Lille,2025-06-30,-,,15,right,,19
Alejandro Garnacho,40.0,Left Winger,Right Winger,Argentina,2004-07-01,Madrid  ,Spain,180,Manchester United,2028-06-30,-,,17,right,Nike,20
Mathys Tel,40.0,Left Winger,"Right Winger, Centre-Forward",France,2005-04-27,Sarcelles  ,France,183,Bayern Munich,2029-06-30,-,,39,right,,19
Sávio,40.0,Left Winger,"Right Winger, Attacking Midfield",Brazil,2004-04-10,São Mateus  ,Brazil,176,Girona FC,2024-06-30,ESTAC Troyes,2027-06-30,16,left,Nike,20
Bradley Barcola,40.0,Left Winger,"Right Winger, Centre-Forward",France,2002-09-02,Lyon  ,France,182,Paris Saint-Germain,2028-06-30,-,,29,right,,22
Victor Boniface,40.0,Centre Forward,,Nigeria,2000-12-23,Akure  ,Nigeria,190,Bayer 04 Leverkusen,2028-06-30,-,,22,right,,24
Alejandro Balde,40.0,Left Back,"Left Winger, Right-Back",Spain,2003-10-18,Barcelona  ,Spain,175,FC Barcelona,2028-06-30,-,,3,left,Nike,21
Roméo Lavia,40.0,Defensive Midfield,Central Midfield,Belgium,2004-01-06,Brussels  ,Belgium,181,Chelsea FC,2030-06-30,-,,45,right,adidas,20
Benjamin Sesko,40.0,Centre Forward,,Slovenia,2003-05-31,Radeče  ,Slovenia,195,RB Leipzig,2028-06-30,-,,30,right,,21
Castello Lukeba,40.0,Centre Back,,France,2002-12-17,Lyon  ,France,184,RB Leipzig,2028-06-30,-,,23,left,,22
Pape Matar Sarr,40.0,Central Midfield,"Defensive Midfield, Attacking Midfield",Senegal,2002-09-14,Thiaroye  ,Senegal,184,Tottenham Hotspur,2030-06-30,-,,29,right,,22
Johan Bakayoko,40.0,Right Winger,,Belgium,2003-04-20,Overijse  ,Belgium,179,PSV Eindhoven,2026-06-30,-,,11,left,Puma,21
Edmond Tapsoba,40.0,Centre Back,,Burkina Faso,1999-02-02,Ouagadougou  ,Burkina Faso,194,Bayer 04 Leverkusen,2028-06-30,-,,12,right,,25
Gonçalo Inácio,40.0,Centre Back,Defensive Midfield,Portugal,2001-08-25,Almada  ,Portugal,186,Sporting CP,2027-06-30,-,,25,left,,23
Nicolás González,40.0,Right Winger,"Centre-Forward, Left Winger",Argentina,1998-04-06,Belén de Escobar  ,Argentina,180,ACF Fiorentina,2028-06-30,-,,10,left,,26
Joshua Zirkzee,40.0,Centre Forward,Second Striker,Netherlands,2001-05-22,Schiedam  ,Netherlands,193,Bologna FC 1909,2026-06-30,-,,9,right,Nike,23
Morgan Gibbs-White,40.0,Attacking Midfield,"Central Midfield, Second Striker",England,2000-01-27,Stafford  ,England,171,Nottingham Forest,2027-06-30,-,,10,right,,24
Jurrien Timber,40.0,Centre Back,"Right-Back, Left-Back",Netherlands,2001-06-17,Utrecht  ,Netherlands,179,Arsenal FC,2028-06-30,-,,12,right,adidas,23
Exequiel Palacios,40.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Argentina,1998-10-05,Famaillá  ,Argentina,177,Bayer 04 Leverkusen,2028-06-30,-,,25,right,,26
Sandro Tonali,40.0,Defensive Midfield,Central Midfield,Italy,2000-05-08,Lodi  ,Italy,181,Newcastle United,2028-06-30,-,,8,right,Nike,24
Richarlison,40.0,Centre Forward,"Left Winger, Right Winger",Brazil,1997-05-10,Nova Venécia  ,Brazil,184,Tottenham Hotspur,2027-06-30,-,,9,right,Nike,27
