player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Fábio Vieira,€25.00m,Attacking Midfield,"['Central Midfield', 'Right Midfield']",Portugal,"May 30, 2000 (23)",Santa Maria da Feira  ,Portugal,"1,70 m",Arsenal FC,30-Jun-27,-,-,#21,left,
Amine Adli,€25.00m,Left Winger,"['Right Winger', 'Second Striker']",Morocco,"May 10, 2000 (23)",Béziers  ,France,"1,74 m",Bayer 04 Leverkusen,30-Jun-26,-,-,#21,left,adidas
Roger Ibañez,€25.00m,Centre-Back,[],Brazil,"Nov 23, 1998 (25)",Canela  ,Brazil,"1,85 m",Al-Ahli SFC,30-Jun-27,-,-,#3,right,
Dani Vivian,€25.00m,Centre-Back,[],Spain,"Jul 5, 1999 (24)",Vitoria-Gasteiz  ,Spain,"1,84 m",Athletic Bilbao,30-Jun-26,-,-,#3,right,
Pepê,€25.00m,Left Winger,"['Right Winger', 'Right-Back']",Brazil,"Feb 24, 1997 (27)",Foz do Iguaçu  ,Brazil,"1,75 m",FC Porto,30-Jun-27,-,-,#11,right,
Jesper Lindstrøm,€25.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Denmark,"Feb 29, 2000 (24)",Taastrup  ,Denmark,"1,82 m",SSC Napoli,30-Jun-28,-,-,#29,right,adidas
Noni Madueke,€25.00m,Right Winger,['Centre-Forward'],England,"Mar 10, 2002 (22)",London  ,England,"1,82 m",Chelsea FC,30-Jun-30,-,-,#11,left,adidas
Riccardo Calafiori,€25.00m,Centre-Back,"['Left Midfield', 'Left-Back']",Italy,"May 19, 2002 (21)",Roma  ,Italy,"1,88 m",Bologna FC 1909,30-Jun-27,-,-,#33,left,
Facundo Medina,€25.00m,Centre-Back,['Left-Back'],Argentina,"May 28, 1999 (24)",Villa Fiorito  ,Argentina,"1,84 m",RC Lens,30-Jun-28,-,-,#14,left,
Brian Brobbey,€25.00m,Centre-Forward,[],Netherlands,"Feb 1, 2002 (22)",Amsterdam  ,Netherlands,"1,80 m",Ajax Amsterdam,30-Jun-27,-,-,#9,right,Nike
